"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"grr","grr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9.5",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"gsubfn","gsubfn","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.7",NA,"proto",NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.1",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.9.4",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"Gviz","Gviz","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.38.4",NA,"R (>= 4.1), methods, S4Vectors (>= 0.9.25), IRanges (>=
1.99.18), GenomicRanges (>= 1.17.20), grid","XVector (>= 0.5.7), rtracklayer (>= 1.25.13), lattice,
RColorBrewer, biomaRt (>= 2.11.0), AnnotationDbi (>= 1.27.5),
Biobase (>= 2.15.3), GenomicFeatures (>= 1.17.22), ensembldb
(>= 2.11.3), BSgenome (>= 1.33.1), Biostrings (>= 2.33.11),
biovizBase (>= 1.13.8), Rsamtools (>= 1.17.28), latticeExtra
(>= 0.6-26), matrixStats (>= 0.8.14), GenomicAlignments (>=
1.1.16), GenomeInfoDb (>= 1.1.3), BiocGenerics (>= 0.11.3),
digest(>= 0.6.8), graphics, grDevices, stats, utils",NA,"BSgenome.Hsapiens.UCSC.hg19, xml2, BiocStyle, knitr,
rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.3"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.5.1",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"HDF5Array","HDF5Array","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.22.1",NA,"R (>= 3.4), methods, DelayedArray (>= 0.15.16), rhdf5 (>=
2.31.6)","utils, stats, tools, Matrix, rhdf5filters, BiocGenerics (>=
0.31.5), S4Vectors, IRanges","S4Vectors (>= 0.27.13), Rhdf5lib","BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData, zellkonverter,
GenomicFeatures, RUnit, SingleCellExperiment",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.2"
"heatmaps","heatmaps","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.18.0",NA,"R (>= 3.4)","methods, grDevices, graphics, stats, Biostrings,
GenomicRanges, IRanges, KernSmooth, plotrix, Matrix, EBImage,
RColorBrewer, BiocGenerics, GenomeInfoDb",NA,"BSgenome.Drerio.UCSC.danRer7, knitr, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"here","here","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"HiCcompare","HiCcompare","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.16.0",NA,"R (>= 3.4.0), dplyr","data.table, ggplot2, gridExtra, mgcv, stats, InteractionSet,
GenomicRanges, IRanges, S4Vectors, BiocParallel, QDNAseq,
KernSmooth, methods, utils, graphics, pheatmap, gtools, rhdf5",NA,"knitr, rmarkdown, testthat, multiHiCcompare",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"HiCDCPlus","HiCDCPlus","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.1",NA,NA,"Rcpp,InteractionSet,GenomicInteractions,bbmle,pscl,BSgenome,data.table,dplyr,tidyr,GenomeInfoDb,rlang,splines,MASS,GenomicRanges,IRanges,tibble,R.utils,Biostrings,rtracklayer,methods,S4Vectors","Rcpp","BSgenome.Mmusculus.UCSC.mm9, BSgenome.Mmusculus.UCSC.mm10,
BSgenome.Hsapiens.UCSC.hg19, BSgenome.Hsapiens.UCSC.hg38,
RUnit, BiocGenerics, knitr, rmarkdown, HiTC, DESeq2, Matrix,
BiocFileCache, rappdirs","parallel","GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.2"
"HiTC","HiTC","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.38.0",NA,"R (>= 2.15.0), methods, IRanges, GenomicRanges","Biostrings, graphics, grDevices, rtracklayer, RColorBrewer,
Matrix, parallel, GenomeInfoDb",NA,"BiocStyle, HiCDataHumanIMR90",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.7-2",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, rstudioapi, tables, knitr, plotly
(>= 4.5.6), rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"HMM","HMM","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.2",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.4.1",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.2"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.4",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap (>= 1.1.0), ellipsis",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.1",NA,NA,"grDevices, htmltools (>= 0.5.4), jsonlite (>= 0.9.16), yaml,
knitr (>= 1.8), rmarkdown",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.7",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.4",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ica","ica","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0-3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
rlang, stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"impute","impute","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.68.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"InteractionSet","InteractionSet","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.22.0",NA,"GenomicRanges, SummarizedExperiment","methods, Matrix, Rcpp, BiocGenerics, S4Vectors (>= 0.27.12),
IRanges, GenomeInfoDb","Rcpp","testthat, knitr, rmarkdown, BiocStyle",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"interp","interp","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-3",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"IRanges","IRanges","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.28.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.29.19)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"irlba","irlba","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.3.5.1",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
